player_name,game,prop_type,line,over_odds,under_odds,sportsbook,game_date
Luka Doncic,MIN Timberwolves @ LA Lakers,Points,30.5,−115,−111,DraftKings,2025-10-25
Devin Booker,PHO Suns @ LA Clippers,Points,28.5,−111,−115,DraftKings,2025-10-25
Victor Wembanyama,SA Spurs @ NO Pelicans,Points,27.5,−115,−111,DraftKings,2025-10-25
Anthony Edwards,MIN Timberwolves @ LA Lakers,Points,26.5,−105,−122,DraftKings,2025-10-25
Cade Cunningham,DET Pistons @ HOU Rockets,Points,25.5,−116,−109,DraftKings,2025-10-25
Anthony Davis,WAS Wizards @ DAL Mavericks,Points,25.5,−115,−111,DraftKings,2025-10-25
Kevin Durant,DET Pistons @ HOU Rockets,Points,25.5,−107,−119,DraftKings,2025-10-25
Zion Williamson,SA Spurs @ NO Pelicans,Points,25.5,−106,−120,DraftKings,2025-10-25
Ja Morant,MIA Heat @ MEM Grizzlies,Points,24.5,−118,−108,DraftKings,2025-10-25
Jaren Jackson Jr.,MIA Heat @ MEM Grizzlies,Points,23.5,−110,−116,DraftKings,2025-10-25
Zach LaVine,UTA Jazz @ SAC Kings,Points,22.5,−123,−103,DraftKings,2025-10-25
DeMar DeRozan,UTA Jazz @ SAC Kings,Points,22.5,−115,−111,DraftKings,2025-10-25
Norman Powell,MIA Heat @ MEM Grizzlies,Points,22.5,−110,−116,DraftKings,2025-10-25
James Harden,PHO Suns @ LA Clippers,Points,21.5,−110,−116,DraftKings,2025-10-25
Lauri Markkanen,UTA Jazz @ SAC Kings,Points,21.5,−108,−118,DraftKings,2025-10-25
Austin Reaves,MIN Timberwolves @ LA Lakers,Points,21.5,−104,−123,DraftKings,2025-10-25
Kawhi Leonard,PHO Suns @ LA Clippers,Points,21.5,−102,−125,DraftKings,2025-10-25
Alperen Sengun,DET Pistons @ HOU Rockets,Points,20.5,−122,−104,DraftKings,2025-10-25
Bam Adebayo,MIA Heat @ MEM Grizzlies,Points,18.5,−122,−104,DraftKings,2025-10-25
Domantas Sabonis,UTA Jazz @ SAC Kings,Points,18.5,−118,−108,DraftKings,2025-10-25
Julius Randle,MIN Timberwolves @ LA Lakers,Points,18.5,−118,−108,DraftKings,2025-10-25
Stephon Castle,SA Spurs @ NO Pelicans,Points,18.5,−108,−118,DraftKings,2025-10-25
Trey Murphy III,SA Spurs @ NO Pelicans,Points,18.5,−107,−119,DraftKings,2025-10-25
Andrew Wiggins,MIA Heat @ MEM Grizzlies,Points,17.5,−113,−113,DraftKings,2025-10-25
Keyonte George,UTA Jazz @ SAC Kings,Points,17.5,−105,−121,DraftKings,2025-10-25
Jordan Poole,SA Spurs @ NO Pelicans,Points,16.5,−114,−111,DraftKings,2025-10-25
